"name","round","percentage"
"Duke","1","98.7"
"Duke","2","94.1"
"Duke","3","85.0"
"Duke","4","61.9"
"Duke","5","41.1"
"Duke","6","27.1"
"Virginia","1","98.3"
"Gonzaga","2","89.1"
"Virginia","3","69.4"
"Virginia","4","48.8"
"Kansas","5","28.0"
"Florida St","6","14.6"
"North Carolina","1","98.0"
"Kansas","2","87.9"
"Florida St","3","58.9"
"Florida St","4","47.1"
"Florida St","5","22.3"
"Kansas","6","9.4"
"Gonzaga","1","98.0"
"Houston","2","87.8"
"Kansas","3","57.8"
"Kansas","4","38.5"
"Virginia","5","20.2"
"Virginia","6","7.9"
"Kentucky","1","97.9"
"Kentucky","2","87.2"
"Houston","3","52.1"
"Gonzaga","4","22.0"
"Houston","5","13.5"
"North Carolina","6","5.9"
"Tennessee","1","97.4"
"Florida St","2","84.7"
"Tennessee","3","49.6"
"Houston","4","20.8"
"North Carolina","5","12.1"
"Michigan St","6","5.5"
"Kansas","1","97.1"
"Michigan St","2","82.5"
"Michigan St","3","48.6"
"Tennessee","4","20.7"
"Michigan St","5","9.9"
"Houston","6","5.3"
"Michigan St","1","97.1"
"Tennessee","2","81.0"
"Texas Tech","3","41.0"
"North Carolina","4","18.4"
"Kentucky","5","9.1"
"Gonzaga","6","3.8"
"Houston","1","96.7"
"Virginia","2","79.5"
"Kentucky","3","41.0"
"Michigan St","4","16.9"
"Gonzaga","5","6.9"
"Kentucky","6","3.7"
"Michigan","1","96.5"
"Michigan","2","71.7"
"LSU","3","35.1"
"Kentucky","4","15.1"
"LSU","5","6.6"
"LSU","6","3.6"
"Florida St","1","96.5"
"LSU","2","68.9"
"Michigan","3","33.9"
"Purdue","4","12.4"
"Tennessee","5","5.7"
"Tennessee","6","2.0"
"Texas Tech","1","94.9"
"North Carolina","2","65.1"
"Gonzaga","3","33.5"
"LSU","4","11.8"
"Texas Tech","5","3.3"
"Texas Tech","6","1.5"
"Purdue","1","94.4"
"Purdue","2","64.9"
"Purdue","3","32.0"
"Texas Tech","4","11.6"
"Purdue","5","3.2"
"Purdue","6","1.2"
"LSU","1","94.1"
"Texas Tech","2","63.4"
"North Carolina","3","29.2"
"Michigan","4","9.6"
"Michigan","5","2.6"
"Michigan","6","1.2"
"Virginia Tech","1","89.1"
"Kansas State","2","57.3"
"Buffalo","3","15.7"
"Oklahoma","4","5.5"
"Utah State","5","2.1"
"Utah State","6","1.1"
"Kansas State","1","88.9"
"Virginia Tech","2","57.1"
"Oklahoma","3","11.2"
"Buffalo","4","4.2"
"Buffalo","5","1.4"
"Buffalo","6","0.8"
"Buffalo","1","80.4"
"Mississippi St","2","33.9"
"Kansas State","3","10.5"
"Kansas State","4","4.1"
"Virginia Tech","5","1.3"
"Virginia Tech","6","0.6"
"Maryland","1","80.3"
"Wisconsin","2","33.7"
"Villanova","3","9.5"
"Utah State","4","3.3"
"Oklahoma","5","1.2"
"Maryland","6","0.6"
"Mississippi St","1","79.1"
"Buffalo","2","31.3"
"Maryland","3","8.7"
"Virginia Tech","4","3.0"
"Maryland","5","1.0"
"Oklahoma","6","0.4"
"Utah State","1","77.2"
"Utah State","2","29.3"
"Utah State","3","7.8"
"Villanova","4","2.7"
"Kansas State","5","0.9"
"Kansas State","6","0.3"
"Wisconsin","1","76.4"
"Villanova","2","26.0"
"Virginia Tech","3","7.4"
"Maryland","4","2.2"
"Villanova","5","0.6"
"Nevada","6","0.3"
"Cincinnati","1","74.9"
"Maryland","2","25.4"
"Nevada","3","5.9"
"Wisconsin","4","1.6"
"Nevada","5","0.4"
"Villanova","6","0.2"
"Villanova","1","71.2"
"Nevada","2","20.6"
"Cincinnati","3","5.2"
"Marquette","4","1.6"
"Mississippi St","5","0.4"
"Marquette","6","0.2"
"UCF","1","71.1"
"Oklahoma","2","15.2"
"Wisconsin","3","4.8"
"Cincinnati","4","1.4"
"Marquette","5","0.4"
"Mississippi St","6","0.2"
"Nevada","1","69.9"
"Cincinnati","2","14.5"
"Louisville","3","4.6"
"Nevada","4","1.4"
"Wisconsin","5","0.4"
"Cincinnati","6","0.2"
"Marquette","1","68.7"
"Louisville","2","12.2"
"Marquette","3","3.8"
