"name","round","percentage"
"Duke","1","99.0"
"Duke","2","91.0"
"Duke","3","72.0"
"Duke","4","52.0"
"Duke","5","32.0"
"Duke","6","19.0"
"Virginia","1","98.0"
"Virginia","2","88.0"
"Virginia","3","73.0"
"Virginia","4","49.0"
"Virginia","5","31.0"
"Virginia","6","17.0"
"Gonzaga","1","100.0"
"Gonzaga","2","91.0"
"Gonzaga","3","73.0"
"Gonzaga","4","51.0"
"Gonzaga","5","27.0"
"Gonzaga","6","15.0"
"UNC","1","98.0"
"UNC","2","86.0"
"UNC","3","54.0"
"UNC","4","33.0"
"UNC","5","17.0"
"UNC","6","8.0"
"Michigan St","1","100.0"
"Michigan St","2","83.0"
"Michigan St","3","59.0"
"Michigan St","4","24.0"
"Michigan St","5","13.0"
"Michigan St","6","7.0"
"Kentucky","1","100.0"
"Kentucky","2","72.0"
"Kentucky","3","47.0"
"Kentucky","4","24.0"
"Kentucky","5","11.0"
"Kentucky","6","5.0"
"Tennessee","1","95.0"
"Tennessee","2","69.0"
"Tennessee","3","43.0"
"Tennessee","4","20.0"
"Tennessee","5","11.0"
"Tennessee","6","5.0"
"Michigan","1","100.0"
"Michigan","2","76.0"
"Michigan","3","43.0"
"Michigan","4","18.0"
"Michigan","5","8.0"
"Michigan","6","4.0"
"Texas Tech","1","91.0"
"Texas Tech","2","65.0"
"Texas Tech","3","35.0"
"Texas Tech","4","14.0"
"Texas Tech","5","6.0"
"Texas Tech","6","2.0"
"Purdue","1","100.0"
"Purdue","2","53.0"
"Purdue","3","26.0"
"Purdue","4","11.0"
"Purdue","5","6.0"
"Purdue","6","2.0"
"Virginia Tech","1","89.0"
"Virginia Tech","2","62.0"
"Virginia Tech","3","19.0"
"Virginia Tech","4","10.0"
"Virginia Tech","5","4.0"
"Virginia Tech","6","2.0"
"Auburn","1","100.0"
"Auburn","2","56.0"
"Auburn","3","23.0"
"Auburn","4","12.0"
"Auburn","5","5.0"
"Auburn","6","2.0"
"Florida St","1","100.0"
"Florida St","2","70.0"
"Florida St","3","19.0"
"Florida St","4","9.0"
"Florida St","5","3.0"
"Florida St","6","1.0"
"Kansas","1","100.0"
"Kansas","2","44.0"
"Kansas","3","19.0"
"Kansas","4","10.0"
"Kansas","5","4.0"
"Kansas","6","1.0"
"Houston","1","89.0"
"Houston","2","53.0"
"Houston","3","23.0"
"Houston","4","9.0"
"Houston","5","3.0"
"Houston","6","1.0"
"Iowa State","1","67.0"
"Iowa State","2","33.0"
"Iowa State","3","14.0"
"Iowa State","4","6.0"
"Iowa State","5","2.0"
"Iowa State","6","0.8"
"Villanova","1","100.0"
"Villanova","2","47.0"
"Villanova","3","17.0"
"Villanova","4","6.0"
"Villanova","5","2.0"
"Villanova","6","0.8"
"Wisconsin","1","60.0"
"Wisconsin","2","33.0"
"Wisconsin","3","9.0"
"Wisconsin","4","4.0"
"Wisconsin","5","2.0"
"Wisconsin","6","0.7"
"Kansas State","1","77.0"
"Kansas State","2","41.0"
"Kansas State","3","10.0"
"Kansas State","4","4.0"
"Kansas State","5","2.0"
"Kansas State","6","0.7"
"LSU","1","100.0"
"LSU","2","56.0"
"LSU","3","18.0"
"LSU","4","4.0"
"LSU","5","1.0"
"LSU","6","0.5"
"Maryland","1","100.0"
"Maryland","2","44.0"
"Maryland","3","17.0"
"Maryland","4","5.0"
"Maryland","5","2.0"
"Maryland","6","0.5"
"Cincinnati","1","68.0"
"Cincinnati","2","23.0"
"Cincinnati","3","11.0"
"Cincinnati","4","4.0"
"Cincinnati","5","1.0"
"Cincinnati","6","0.5"
"Wofford","1","100.0"
"Wofford","2","28.0"
"Wofford","3","12.0"
"Wofford","4","4.0"
"Wofford","5","1.0"
"Wofford","6","0.4"
"Buffalo","1","66.0"
"Buffalo","2","24.0"
"Buffalo","3","9.0"
"Buffalo","4","3.0"
"Buffalo","5","0.9"
"Buffalo","6","0.3"
"Mississippi St","1","79.0"
"Mississippi St","2","31.0"
"Mississippi St","3","6.0"
"Mississippi St","4","2.0"
"Mississippi St","5","0.7"
"Mississippi St","6","0.2"
"Florida","1","100.0"
"Florida","2","24.0"
"Florida","3","9.0"
"Florida","4","2.0"
"Florida","5","0.7"
"Florida","6","0.2"
"Murray St","1","100.0"
"Murray St","2","30.0"
"Murray St","3","5.0"
"Murray St","4","2.0"
"Murray St","5","0.5"
"Murray St","6","0.1"
"Minnesota","1","100.0"
"Minnesota","2","17.0"
"Minnesota","3","6.0"
"Minnesota","4","1.0"
"Minnesota","5","0.3"
"Minnesota","6","0.1"
"Ohio State","1","33.0"
"Ohio State","2","12.0"
"Ohio State","3","4.0"
"Ohio State","4","1.0"
"Ohio State","5","0.3"
"Ohio State","6","0.01"
"Oklahoma","1","53.0"
"Oklahoma","2","6.0"
"Oklahoma","3","3.0"
"Oklahoma","4","0.8"
"Oklahoma","5","0.3"
"Oklahoma","6","0.01"
"Iowa","1","32.0"
"Iowa","2","7.0"
"Iowa","3","2.0"
"Iowa","4","0.6"
"Iowa","5","0.2"
"Iowa","6","0.01"
"Arizona St","1","34.0"
"Arizona St","2","9.0"
"Arizona St","3","3.0"
"Arizona St","4","0.8"
"Arizona St","5","0.2"
"Arizona St","6","0.01"
"Oregon","1","40.0"
"Oregon","2","19.0"
"Oregon","3","3.0"
"Oregon","4","0.6"
"Oregon","5","0.2"
"Oregon","6","0.01"
"Baylor","1","100.0"
"Baylor","2","9.0"
"Baylor","3","3.0"
"Baylor","4","0.9"
"Baylor","5","0.2"
"Baylor","6","0.01"
"Mississippi","1","47.0"
"Mississippi","2","5.0"
"Mississippi","3","2.0"
"Mississippi","4","0.6"
"Mississippi","5","0.2"
"Mississippi","6","0.01"
"Utah State","1","51.0"
"Utah State","2","7.0"
"Utah State","3","2.0"
"Utah State","4","0.6"
"Utah State","5","0.2"
"Utah State","6","0.01"
"VCU","1","50.0"
"VCU","2","5.0"
"VCU","3","2.0"
"VCU","4","0.6"
"VCU","5","0.2"
"VCU","6","0.01"
"Washington","1","49.0"
"Washington","2","7.0"
"Washington","3","2.0"
"Washington","4","0.5"
"Washington","5","0.1"
"Washington","6","0.01"
"UCF","1","50.0"
"UCF","2","4.0"
"UCF","3","1.0"
"UCF","4","0.4"
"UCF","5","0.1"
"UCF","6","0.01"
"Liberty","1","21.0"
"Liberty","2","4.0"
"Liberty","3","0.4"
"Liberty","4","0.1"
"Liberty","5","0.01"
"Liberty","6","0.01"
"UC Irvine","1","23.0"
"UC Irvine","2","7.0"
"UC Irvine","3","0.6"
"UC Irvine","4","0.01"
"UC Irvine","5","0.01"
"UC Irvine","6","0.01"
"N Kentucky","1","9.0"
"N Kentucky","2","3.0"
"N Kentucky","3","0.4"
"N Kentucky","4","0.01"
"N Kentucky","5","0.01"
"N Kentucky","6","0.01"
"St Louis","1","11.0"
"St Louis","2","3.0"
"St Louis","3","0.2"
"St Louis","4","0.01"
"St Louis","5","0.01"
"St Louis","6","0.01"
"Georgia St","1","11.0"
"Georgia St","2","2.0"
"Georgia St","3","0.3"
"Georgia St","4","0.01"
"Georgia St","5","0.01"
"Georgia St","6","0.01"
"Colgate","1","5.0"
"Colgate","2","0.9"
"Colgate","3","0.1"
"Colgate","4","0.01"
"Colgate","5","0.01"
"Colgate","6","0.01"
"Gardner-Webb","1","2.0"
"Gardner-Webb","2","0.4"
"Gardner-Webb","3","0.01"
"Gardner-Webb","4","0.01"
"Gardner-Webb","5","0.01"
"Gardner-Webb","6","0.01"
"Iona","1","2.0"
"Iona","2","0.4"
"Iona","3","0.01"
"Iona","4","0.01"
"Iona","5","0.01"
"Iona","6","0.01"
"ND State","1","0.8"
"ND State","2","0.1"
"ND State","3","0.01"
"ND State","4","0.01"
"ND State","5","0.01"
"ND State","6","0.01"
